id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
183,80867,Night Raid,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
205,16141,Gargoyle's Quest II,NULL,1992-07-17 00:00:00.000,NULL,NULL,NULL,NULL,69.5651,6
1212,49058,Turn and Burn: The F-14 Dogfight Simulator,NULL,1992-06-01 00:00:00.000,NULL,NULL,NULL,NULL,55.0000,0
1392,40252,S.S. Mission,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1557,14210,ADI English: 11/12 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1635,39849,War of Aero,NULL,1992-04-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2137,42230,Pachinko Wars,NULL,1992-07-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2189,45621,Honoo no Toukyuuji: Dodge Danpei,NULL,1992-08-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2224,118511,Fire Fighter,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2534,40430,Super Chase: Criminal Termination,NULL,1992-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2806,131503,Tetris for the CD-i,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2952,42089,AV Poker: World Gambler,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3200,12757,Sabre Team,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3499,48898,Magic Kid Goo Goo,NULL,1992-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3518,8767,Realms of Arkania: Blade of Destiny,NULL,1992-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3840,83359,The Oregon Trail Deluxe,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4360,194569,Wheel of Fortune,NULL,1992-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4454,15261,McDonaldland,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4717,2415,Abandoned Places: A Time for Heroes,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4881,19670,Mega Math,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
